location,2020,2021,change_rate
Afghanistan,1989.3856576852363,2025.7939818396912,0.018301290156488858
Albania,1853.7641500061736,1865.8072033473245,0.006496540210420389
Algeria,2153.744923540185,2136.3024983100368,-0.008098649491638757
American Samoa,1726.0892450196247,1784.3410633516532,0.033747860083194144
Andorra,2647.118324336602,2637.9365596613006,-0.0034685886878904892
Angola,2191.3888677406403,2250.090160640963,0.02678725522633721
Argentina,2591.852205973635,2656.810012768404,0.02506231128652149
Armenia,2217.4119566874897,2201.8523575451804,-0.007017008767984261
Australia,3053.367298879055,3079.1204740074168,0.008434352178270942
Bahamas,2405.817540594118,2537.676002275967,0.05480817204836192
Bahrain,2333.2610303914257,2341.391728146908,0.0034846927324364944
Bangladesh,2023.8556322494203,2083.2784696610397,0.029361203667266387
Barbados,2375.961459427332,2427.823907810411,0.021827983857776553
Belarus,1783.8891497410373,1809.497574550066,0.014355390194926775
Belgium,2435.814159877999,2400.534577661226,-0.014483692063987242
Belize,2273.8464799787816,2349.110135636316,0.03309970849845444
Benin,1965.996311290769,2000.343347641328,0.017470549742796056
Bermuda,2466.728051194925,2503.3151044356105,0.014832220042644062
Bhutan,1778.6704775060991,1748.6606996857258,-0.01687202784320706
Botswana,1809.8241378703517,1835.3655179340965,0.014112630906669043
Brazil,2820.23214689874,2860.448271962449,0.014259863361933592
Bulgaria,1790.7197646112973,1815.7986079913976,0.01400489561555942
Burkina Faso,2009.7654706612316,2031.5206414738884,0.010824731109296644
Burundi,1676.0462352417055,1718.5238876642136,0.025343962194683906
Cabo Verde,2096.686856198111,2133.88898923104,0.017743294819135263
Cambodia,1459.2119747593472,1517.22556217811,0.03975679231136413
Cameroon,1967.934878136493,2016.5736676197112,0.0247156499046737
Canada,2258.123428322819,2257.271171518716,-0.0003774181665242426
Chad,2147.7479037741728,2069.10861422211,-0.03661476722378455
Chile,2817.9844531873614,2864.5737172978597,0.01653283220132823
China,1782.9714549577943,1764.642273274742,-0.01028013187316355
Colombia,1912.927860948248,1945.2711652860587,0.016907749109669985
Comoros,1962.8568624391544,1963.5717539211664,0.00036420968624460557
Cook Islands,1763.645509442564,1806.7120331076771,0.02441903627148137
Costa Rica,2164.1830352548727,2212.060569419693,0.022122682501843807
Croatia,1961.162275446611,2004.0433135722733,0.021865114714128983
Cuba,2462.503369331044,2522.3926963093145,0.024320505597740575
Cyprus,2558.456627624196,2598.741872553786,0.01574591669626987
Czechia,1970.3815046428788,2026.6052044766936,0.028534423258304544
Denmark,2273.0519629899377,2249.572137514455,-0.010329647477393261
Djibouti,1721.072111757832,1827.9465972818543,0.06209762205423517
Dominica,2302.897156697666,2360.32426727757,0.024936897600001326
Ecuador,2341.4817177059367,2303.7288620965883,-0.0161234893801933
Egypt,2209.20198674797,2211.2821029019315,0.0009415690219542292
El Salvador,2019.0280305720016,2041.2402241626744,0.011001429031364134
Equatorial Guinea,2142.44397757123,2151.245848131614,0.0041083317242032276
Eritrea,1760.4770270112003,1754.6042101855353,-0.003335923579551304
Estonia,1760.647859963285,1792.1819705828204,0.017910515405501315
Eswatini,1894.853380133641,1934.646844485004,0.021000814505530006
Ethiopia,1933.9095556372677,1991.4019706399004,0.02972859554628325
Fiji,1623.0373327823893,1682.056110187012,0.03636316689243761
Finland,1998.708390551372,1992.4151022250564,-0.003148677594023378
France,2561.0965267204974,2571.9432183482804,0.004235174861477115
Gabon,2235.829934584573,2279.7452710359944,0.01964162648156914
Gambia,1964.271440136254,1984.3412336579304,0.010217423677597398
Georgia,1949.149912312872,1935.6238874900205,-0.0069394481857998356
Germany,2260.1742093420157,2270.7735183359846,0.004689598239887244
Ghana,2024.156722122863,2062.65253884527,0.019018199678745313
Greece,2835.7882866721766,2864.7890743937696,0.0102267111610175
Greenland,2656.6907609404952,2674.6912454588905,0.006775528707760833
Grenada,2284.346645860656,2366.4519491693763,0.03594257616614327
Guam,1779.8559735471824,1821.3253704502083,0.023299299223846194
Guatemala,2115.754717564627,2166.2167349087504,0.02385059899675357
Guinea,2024.1823954987792,2048.459776318958,0.011993672543623081
Guyana,2191.511400852061,2265.3272199121143,0.03368260782551885
Haiti,2190.985004934288,2259.246491500984,0.031155615585211783
Honduras,1953.6502860621408,1958.838793031442,0.002655801299914012
Hungary,1908.1365663176337,1931.2141990780624,0.012094329707733914
Iceland,2615.1603712632395,2664.779754151796,0.018973743803171905
India,1931.3167660097267,1945.640788283896,0.007416713056224303
Indonesia,1391.3434425356245,1423.040764039764,0.02278180967768353
Iraq,2221.541780265878,2201.8535089488305,-0.00886243576057851
Ireland,2651.719227974249,2705.606306889292,0.020321562836126225
Israel,2360.453801820474,2389.624075906107,0.01235790934062587
Italy,2126.860492144197,2115.4228729344204,-0.005377700724623332
Jamaica,2298.626059064132,2375.7646863145487,0.033558580329426574
Japan,1899.850513904352,1978.871831818144,0.04159343976563534
Jordan,2254.712765318918,2243.420719407276,-0.005008197090703462
Kazakhstan,1509.8471980453985,1556.980538547955,0.031217291765401
Kenya,1710.7126417358968,1723.391471564603,0.007411431656833262
Kiribati,1721.6818231309817,1774.047165889997,0.0304152265857031
Kuwait,2268.120085650217,2287.2382721777967,0.00842908920411024
Latvia,1805.1673534570623,1850.990407002156,0.02538437971268331
Lebanon,2621.848480102174,2657.4905329765543,0.013594245870757256
Lesotho,1776.475271349127,1819.152201547997,0.02402337419898864
Liberia,2085.4658905245687,2098.687349949729,0.0063398109195805545
Libya,2367.5972460487937,2387.4961064879917,0.008404664464112942
Lithuania,1999.1237914779888,2035.2476978722489,0.01806986968403443
Luxembourg,2550.897638727716,2565.9864135852117,0.005915084411235412
Madagascar,1739.4839946573666,1767.5367562971087,0.016127059361226142
Malawi,1726.0381013926622,1777.7560418352014,0.029963382848159803
Malaysia,1599.5038717999769,1752.0130195099946,0.0953477827711626
Maldives,1456.1303407352489,1497.096990056157,0.0281339164323866
Mali,1837.126857034023,1860.2961368339456,0.012611692933022925
Malta,2642.296710224814,2648.822265244888,0.0024696526301616097
Mauritania,1757.6515951534473,1749.4034727944324,-0.004692694719339263
Mauritius,1796.2142592313664,1851.3612340971229,0.030701779914248557
Mexico,2171.4146037851733,2183.258385525105,0.005454408255008439
Monaco,2551.969345537289,2578.726798687434,0.010485021380423959
Mongolia,1631.4823867689631,1683.9389818368386,0.03215271920389045
Montenegro,2014.5712559035069,2046.5742406323916,0.015885754666211508
Morocco,2225.206093119743,2242.156303507916,0.0076173665174577125
Mozambique,1758.3275228555951,1823.575125645197,0.037107764020912946
Myanmar,1429.5466548607942,1465.6203200588775,0.025234339204967086
Namibia,1692.0717240690094,1737.896073121707,0.0270818006121523
Nauru,1608.4647373545351,1662.4198734182648,0.0335444942066125
Nepal,1682.974701852614,1722.3531982564682,0.023398151119268976
Netherlands,3303.1998936405957,3337.4868756853457,0.010379929507372567
New Zealand,2786.280435638889,2775.066368582444,-0.004024744570936767
Nicaragua,2023.403405947525,2059.139170849624,0.017661216145558722
Niger,1764.4144049912709,1767.4127389490982,0.0016993365897180672
Nigeria,2005.2032783718528,2030.5352216943916,0.01263310488057218
Niue,1755.0953548882048,1808.7057335095285,0.030545564645254562
North Macedonia,1878.0680604623765,1902.049747021937,0.012769338377255782
Norway,2314.377163722418,2339.899036275131,0.011027533866461001
Oman,2085.521452399335,2142.7159973230764,0.027424577607648524
Pakistan,1835.7619993405856,1844.8768758857343,0.004965173344051585
Palau,1812.6651068757824,1863.3161640121905,0.027942865421902278
Palestine,2167.450491195538,2229.6559845372726,0.02869984509192784
Panama,1921.1908875248544,1916.9455000581595,-0.00220976868788107
Papua New Guinea,1540.3742222597507,1652.2681423641347,0.07264073787227762
Paraguay,2336.482172515213,2432.6318022305454,0.04115145017855109
Peru,2481.4212806370965,2495.141649259256,0.005529237912651809
Philippines,1404.052291203487,1468.8101483666055,0.046122112095704965
Poland,1760.619298132828,1777.714194779794,0.009709592905800615
Portugal,3068.996152382083,3074.557404075641,0.0018120751598992696
Puerto Rico,2676.1505515062117,2711.8124654844964,0.013325825020648852
Qatar,2110.4870498708337,2110.085817417568,-0.00019011367697826148
Romania,1758.2624028743332,1772.7779521671962,0.008255621725820637
Russian Federation,1856.12568572854,1875.5751765497653,0.010478541927828135
Rwanda,1761.491187416804,1855.804609110537,0.05354180728661041
Samoa,1582.1148960162284,1627.40869462102,0.028628640510775533
San Marino,2632.03960322324,2608.27780107244,-0.009027904489621288
Saudi Arabia,2422.0685637181364,2438.04795419584,0.006597414588946785
Senegal,1863.3805137187376,1910.140144326236,0.02509397853162071
Serbia,2029.3790115812724,2042.937221361804,0.006680964818871929
Seychelles,1433.5663126256063,1487.0666839547987,0.037319774368306226
Sierra Leone,2063.305704294008,2045.6246631936465,-0.00856927844650703
Singapore,1745.3416905034828,1785.93534770578,0.02325828657114531
Slovakia,1822.9979857029268,1858.260712858623,0.01934326172176176
Slovenia,2036.7503104075583,2034.5759429951656,-0.0010675669969372025
Solomon Islands,1629.7582426919546,1728.5522879188477,0.06061883452340143
Somalia,1555.8204483689242,1601.3462022459114,0.029261573162067032
South Africa,1988.6505758858211,2031.6923632165688,0.021643715518788503
South Sudan,1917.089220399979,1930.442157519756,0.006965214230869749
Spain,2503.023885274405,2522.019567424505,0.0075890934408792314
Sri Lanka,1402.5628306091558,1480.6244609454614,0.05565642310826258
Sudan,2150.2576161379,2149.3133839851416,-0.00043912512885525975
Suriname,2189.5234322067777,2269.146289760894,0.03636538270516063
Sweden,2458.3863741902223,2382.6415030595304,-0.030810808230110655
Taiwan,1615.777069548114,1611.7924987913902,-0.0024660399208649114
Tajikistan,1603.8014415961377,1620.5162472937834,0.010421991939981536
Thailand,1361.428250139472,1415.320998325451,0.03958544872302881
Togo,2382.116245068345,2410.4637767151094,0.011900146227310159
Tokelau,1736.6587071651427,1793.4739780594618,0.032715277135288316
Tonga,1967.1043805123088,1991.3839642557991,0.01234280396303474
Tunisia,2599.452417192937,2646.219083634576,0.01799096845640305
Turkmenistan,1670.4401083187363,1655.982990013863,-0.008654676233453314
Tuvalu,1656.787341017813,1702.7371618546206,0.0277342901525184
Uganda,1664.2251371109064,1766.2482795250046,0.06130369031152256
Ukraine,2257.3751868994013,2328.9673948159525,0.0317148023651691
United States of America,2546.8165040138097,2542.6844107571155,-0.001622454248345694
Uruguay,2491.324158798254,2554.922023866427,0.025527735860294887
Uzbekistan,1542.663324496231,1537.8650208811464,-0.0031104023404793326
Vanuatu,1588.0520283242995,1623.6188324221864,0.022396498013617816
Yemen,1995.3627392457347,1993.060580305418,-0.0011537546006231405
Zambia,1747.0904959848078,1810.5889329199647,0.036345247759683896
Zimbabwe,1711.565023735064,1761.9825305005745,0.02945696252631227
